[BEGIN] 2020/3/30 17:56:51
[2020/3/30 17:56:55] [root@vw-infotainment-752947:~]# top -m | grep MXNavi
[2020/3/30 18:02:19]  1962 1443m 1365m  641m 23236  579m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:24]  1962 1443m 1365m  642m 23244  580m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:30]  1962 1443m 1365m  637m 23236  575m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:35]  1962 1443m 1365m  644m 23236  582m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:40]  1962 1443m 1365m  637m 23236  575m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:46]  1962 1443m 1365m  638m 23236  576m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:51]  1962 1443m 1365m  637m 23236  575m     0   132 /usr/bin/MXNavi
[2020/3/30 18:02:56]  1962 1443m 1365m  637m 23236  575m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:02]  1962 1443m 1365m  636m 23236  573m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:07]  1962 1443m 1365m  659m 23236  597m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:13]  1962 1443m 1365m  673m 23236  611m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:18]  1962 1443m 1365m  678m 23236  616m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:23]  1962 1443m 1365m  689m 23236  627m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:29]  1962 1443m 1365m  700m 23236  638m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:34]  1962 1447m 1369m  705m 23236  643m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:40]  1962 1449m 1371m  702m 23236  640m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:45]  1962 1450m 1372m  703m 23236  641m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:50]  1962 1451m 1373m  700m 23236  638m     0   132 /usr/bin/MXNavi
[2020/3/30 18:03:56]  1962 1452m 1374m  702m 23236  640m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:01]  1962 1452m 1374m  657m 23236  595m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:07]  1962 1452m 1374m  650m 23236  588m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:12]  1962 1452m 1374m  641m 23236  579m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:17]  1962 1452m 1374m  636m 23236  574m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:23]  1962 1452m 1374m  638m 23236  576m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:28]  1962 1452m 1374m  634m 23236  572m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:34]  1962 1452m 1374m  636m 23236  574m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:39]  1962 1452m 1374m  636m 23236  574m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:44]  1962 1452m 1374m  638m 23236  576m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:50]  1962 1452m 1374m  637m 23236  575m     0   132 /usr/bin/MXNavi
[2020/3/30 18:04:55]  1962 1457m 1379m  659m 23236  597m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:00]  1962 1457m 1379m  675m 23236  613m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:06]  1962 1457m 1379m  701m 23236  639m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:11]  1962 1457m 1379m  678m 23236  616m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:17]  1962 1457m 1379m  692m 23236  630m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:22]  1962 1457m 1379m  693m 23236  631m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:27]  1962 1457m 1379m  686m 23236  624m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:33]  1962 1457m 1379m  706m 23236  643m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:38]  1962 1457m 1379m  702m 23236  639m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:43]  1962 1457m 1379m  702m 23236  640m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:49]  1962 1457m 1379m  700m 23236  638m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:54]  1962 1457m 1379m  700m 23236  638m     0   132 /usr/bin/MXNavi
[2020/3/30 18:05:59]  1962 1457m 1379m  663m 23236  601m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:05]  1962 1457m 1379m  669m 23236  607m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:10]  1962 1457m 1379m  667m 23236  605m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:16]  1962 1459m 1381m  673m 23236  611m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:21]  1962 1459m 1381m  664m 23236  602m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:26]  1962 1459m 1381m  668m 23236  606m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:32]  1962 1467m 1389m  670m 23236  608m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:37]  1962 1471m 1393m  676m 23236  613m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:43]  1962 1471m 1393m  681m 23236  619m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:49]  1962 1479m 1401m  680m 23236  618m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:54]  1962 1479m 1401m  686m 23236  624m     0   132 /usr/bin/MXNavi
[2020/3/30 18:06:59]  1962 1495m 1417m  667m 23236  605m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:04]  1962 1495m 1417m  664m 23236  602m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:10]  1962 1495m 1417m  673m 23236  611m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:15]  1962 1495m 1417m  680m 23236  618m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:21]  1962 1495m 1417m  685m 23236  623m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:26]  1962 1495m 1417m  693m 23236  630m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:31]  1962 1495m 1417m  709m 23236  647m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:37]  1962 1495m 1417m  712m 23236  650m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:42]  1962 1495m 1417m  695m 23236  633m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:48]  1962 1495m 1417m  694m 23236  632m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:53]  1962 1495m 1417m  696m 23236  634m     0   132 /usr/bin/MXNavi
[2020/3/30 18:07:58]  1962 1495m 1417m  656m 23236  594m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:04]  1962 1495m 1417m  658m 23236  596m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:09]  1962 1495m 1417m  658m 23236  596m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:14]  1962 1495m 1417m  658m 23236  596m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:20]  1962 1495m 1417m  654m 23236  592m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:25]  1962 1495m 1417m  658m 23236  596m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:31]  1962 1495m 1417m  652m 23236  590m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:36]  1962 1495m 1417m  662m 23236  600m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:42]  1962 1495m 1417m  672m 23236  610m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:47]  1962 1499m 1421m  693m 23236  631m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:52]  1962 1499m 1421m  683m 23236  621m     0   132 /usr/bin/MXNavi
[2020/3/30 18:08:58]  1962 1499m 1421m  680m 23236  618m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:03]  1962 1499m 1421m  693m 23236  631m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:09]  1962 1499m 1421m  680m 23236  617m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:14]  1962 1499m 1421m  691m 23236  629m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:19]  1962 1499m 1421m  693m 23236  631m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:25]  1962 1499m 1421m  704m 23236  642m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:30]  1962 1499m 1421m  701m 23236  639m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:36]  1962 1499m 1421m  714m 23236  652m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:41]  1962 1499m 1421m  706m 23236  644m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:47]  1962 1499m 1421m  707m 23236  645m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:52]  1962 1499m 1421m  704m 23236  642m     0   132 /usr/bin/MXNavi
[2020/3/30 18:09:58]  1962 1499m 1421m  695m 23236  633m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:03]  1962 1499m 1421m  703m 23236  641m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:08]  1962 1499m 1421m  689m 23236  627m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:13]  1962 1531m 1453m  709m 23236  647m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:19]  1962 1531m 1453m  686m 23236  624m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:24]  1962 1531m 1453m  689m 23236  627m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:30]  1962 1531m 1453m  678m 23236  616m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:35]  1962 1531m 1453m  679m 23236  617m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:41]  1962 1531m 1453m  676m 23236  614m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:46]  1962 1531m 1453m  677m 23236  615m     0   132 /usr/bin/MXNavi
[2020/3/30 18:10:51]  1962 1531m 1453m  672m 23236  610m     0   132 /usr/bin/MXNavi
